Date,Order number,Category,Category name,Origin,Remaining (t)
2026-08-04,09.9801,1.A,Non-alloy & other alloy hot rolled sheets/strips,Türkiye,0
2026-08-04,09.9802,1.A,Non-alloy & other alloy hot rolled sheets/strips,Japan,130049
2026-08-04,09.9803,1.A,Non-alloy & other alloy hot rolled sheets/strips,India,47368
2026-08-04,09.9804,1.A,Non-alloy & other alloy hot rolled sheets/strips,Taiwan,67237
2026-08-04,09.9805,1.A,Non-alloy & other alloy hot rolled sheets/strips,Ukraine,56577
2026-08-04,09.9806,1.A,Non-alloy & other alloy hot rolled sheets/strips,Korea,60900
2026-08-04,09.9807,1.A,Non-alloy & other alloy hot rolled sheets/strips,Viet Nam,80564
2026-08-04,09.9808,1.A,Non-alloy & other alloy hot rolled sheets/strips,Egypt,99404
2026-08-04,09.9809,1.A,Non-alloy & other alloy hot rolled sheets/strips,Serbia,44343
2026-08-04,09.9500,1.A,Non-alloy & other alloy hot rolled sheets/strips,FTA Quota – CSQ,0
2026-08-04,09.9701,1.A,Non-alloy & other alloy hot rolled sheets/strips,Brazil,42444
2026-08-04,09.9705,1.A,Non-alloy & other alloy hot rolled sheets/strips,United Kingdom,36161
2026-08-04,09.9702,1.A,Non-alloy & other alloy hot rolled sheets/strips,Indonesia,0
2026-08-04,09.9810,1.A,Non-alloy & other alloy hot rolled sheets/strips,Australia,11695
2026-08-04,09.9811,1.A,Non-alloy & other alloy hot rolled sheets/strips,Saudi Arabia,9545
2026-08-04,09.9704,1.A,Non-alloy & other alloy hot rolled sheets/strips,Switzerland,5355
2026-08-04,09.9812,1.A,Non-alloy & other alloy hot rolled sheets/strips,Kazakhstan,2349
2026-08-04,09.9703,1.A,Non-alloy & other alloy hot rolled sheets/strips,North Macedonia,1260
2026-08-04,09.9600,1.A,Non-alloy & other alloy hot rolled sheets/strips,Other countries,0
2026-08-04,09.9700,1.A,Non-alloy & other alloy hot rolled sheets/strips,FTA Quota – Other countries,0
2026-08-04,09.9813,1.B,Non-alloy & other alloy hot rolled sheets/strips (7212 60),United Kingdom,330
2026-08-04,09.9814,1.B,Non-alloy & other alloy hot rolled sheets/strips (7212 60),United States,0
2026-08-04,09.9815,1.B,Non-alloy & other alloy hot rolled sheets/strips (7212 60),Japan,139
2026-08-04,09.9816,1.B,Non-alloy & other alloy hot rolled sheets/strips (7212 60),China,36
2026-08-04,09.9501,1.B,Non-alloy & other alloy hot rolled sheets/strips (7212 60),FTA Quota – CSQ,107
2026-08-04,09.9601,1.B,Non-alloy & other alloy hot rolled sheets/strips (7212 60),Other countries,41
2026-08-04,09.9706,1.B,Non-alloy & other alloy hot rolled sheets/strips (7212 60),FTA Quota – Other countries,49
2026-08-04,09.9817,2,Non-alloy & other alloy cold rolled sheets,Taiwan,33542
2026-08-04,09.9818,2,Non-alloy & other alloy cold rolled sheets,India,62656
2026-08-04,09.9819,2,Non-alloy & other alloy cold rolled sheets,Korea,23350
2026-08-04,09.9820,2,Non-alloy & other alloy cold rolled sheets,Türkiye,39751
2026-08-04,09.9821,2,Non-alloy & other alloy cold rolled sheets,United Kingdom,19650
2026-08-04,09.9822,2,Non-alloy & other alloy cold rolled sheets,Japan,29167
2026-08-04,09.9823,2,Non-alloy & other alloy cold rolled sheets,Ukraine,8856
2026-08-04,09.9502,2,Non-alloy & other alloy cold rolled sheets,FTA Quota – CSQ,33671
2026-08-04,09.9602,2,Non-alloy & other alloy cold rolled sheets,Other countries,0
2026-08-04,09.9707,2,Non-alloy & other alloy cold rolled sheets,FTA Quota – Other countries,16937
2026-08-04,09.9709,2,Non-alloy & other alloy cold rolled sheets,Egypt,818
2026-08-04,09.9710,2,Non-alloy & other alloy cold rolled sheets,Switzerland,433
2026-08-04,09.9708,2,Non-alloy & other alloy cold rolled sheets,Brazil,0
2026-08-04,09.9824,3.A,Electrical sheets (non grain-oriented),Japan,78
2026-08-04,09.9825,3.A,Electrical sheets (non grain-oriented),United Kingdom,20
2026-08-04,09.9826,3.A,Electrical sheets (non grain-oriented),China,5
2026-08-04,09.9827,3.A,Electrical sheets (non grain-oriented),Türkiye,9
2026-08-04,09.9503,3.A,Electrical sheets (non grain-oriented),FTA Quota – CSQ,29
2026-08-04,09.9603,3.A,Electrical sheets (non grain-oriented),Other countries,7
2026-08-04,09.9711,3.A,Electrical sheets (non grain-oriented),FTA Quota – Other countries,0
2026-08-04,09.9828,3.B,Electrical sheets (grain-oriented),China,0
2026-08-04,09.9829,3.B,Electrical sheets (grain-oriented),Taiwan,3916
2026-08-04,09.9830,3.B,Electrical sheets (grain-oriented),Korea,12523
2026-08-04,09.9831,3.B,Electrical sheets (grain-oriented),Viet Nam,6925
2026-08-04,09.9504,3.B,Electrical sheets (grain-oriented),FTA Quota – CSQ,4217
2026-08-04,09.9604,3.B,Electrical sheets (grain-oriented),Other countries,1477
2026-08-04,09.9712,3.B,Electrical sheets (grain-oriented),FTA Quota – Other countries,4078
2026-08-04,09.9713,3.B,Electrical sheets (grain-oriented),Japan,554
2026-08-04,09.9832,4.A,Metallic coated sheets,Viet Nam,98206
2026-08-04,09.9833,4.A,Metallic coated sheets,Taiwan,15065
2026-08-04,09.9834,4.A,Metallic coated sheets,Türkiye,0
2026-08-04,09.9835,4.A,Metallic coated sheets,India,50371
2026-08-04,09.9836,4.A,Metallic coated sheets,Korea,9376
2026-08-04,09.9505,4.A,Metallic coated sheets,FTA Quota – CSQ,0
2026-08-04,09.9605,4.A,Metallic coated sheets,Other countries,0
2026-08-04,09.9714,4.A,Metallic coated sheets,FTA Quota – Other countries,6224
2026-08-04,09.9718,4.A,Metallic coated sheets,United Kingdom,3418
2026-08-04,09.9716,4.A,Metallic coated sheets,Japan,71
2026-08-04,09.9715,4.A,Metallic coated sheets,Egypt,2836
2026-08-04,09.9717,4.A,Metallic coated sheets,South Africa,3095
2026-08-04,09.9837,4.B,Metallic coated sheets (automotive),Korea,38859
2026-08-04,09.9838,4.B,Metallic coated sheets (automotive),China,0
2026-08-04,09.9839,4.B,Metallic coated sheets (automotive),United Kingdom,33349
2026-08-04,09.9840,4.B,Metallic coated sheets (automotive),Türkiye,0
2026-08-04,09.9841,4.B,Metallic coated sheets (automotive),India,25067
2026-08-04,09.9506,4.B,Metallic coated sheets (automotive),FTA Quota – CSQ,0
2026-08-04,09.9606,4.B,Metallic coated sheets (automotive),Other countries,0
2026-08-04,09.9719,4.B,Metallic coated sheets (automotive),FTA Quota – Other countries,5022
2026-08-04,09.9720,4.B,Metallic coated sheets (automotive),Egypt,1718
2026-08-04,09.9721,4.B,Metallic coated sheets (automotive),Switzerland,28
2026-08-04,09.9842,5,Organic coated sheets,India,416
2026-08-04,09.9843,5,Organic coated sheets,Korea,0
2026-08-04,09.9844,5,Organic coated sheets,Viet Nam,4429
2026-08-04,09.9845,5,Organic coated sheets,Türkiye,0
2026-08-04,09.9846,5,Organic coated sheets,Taiwan,154
2026-08-04,09.9847,5,Organic coated sheets,United Kingdom,5489
2026-08-04,09.9507,5,Organic coated sheets,FTA Quota – CSQ,0
2026-08-04,09.9607,5,Organic coated sheets,Other countries,2982
2026-08-04,09.9722,5,Organic coated sheets,FTA Quota – Other countries,1539
2026-08-04,09.9723,5,Organic coated sheets,North Macedonia,0
2026-08-04,09.9848,6,Tin mill products,China,32290
2026-08-04,09.9849,6,Tin mill products,Serbia,10822
2026-08-04,09.9850,6,Tin mill products,United Kingdom,10915
2026-08-04,09.9851,6,Tin mill products,Türkiye,11665
2026-08-04,09.9852,6,Tin mill products,Korea,7434
2026-08-04,09.9853,6,Tin mill products,India,5914
2026-08-04,09.9508,6,Tin mill products,FTA Quota – CSQ,11255
2026-08-04,09.9608,6,Tin mill products,Other countries,423
2026-08-04,09.9724,6,Tin mill products,FTA Quota – Other countries,5334
2026-08-04,09.9725,6,Tin mill products,Japan,0
2026-08-04,09.9726,6,Tin mill products,Singapore,21
2026-08-04,09.9854,7,Non-alloy & other alloy quarto plates,Korea,2762
2026-08-04,09.9855,7,Non-alloy & other alloy quarto plates,Indonesia,18581
2026-08-04,09.9856,7,Non-alloy & other alloy quarto plates,India,52558
2026-08-04,09.9857,7,Non-alloy & other alloy quarto plates,Japan,23253
2026-08-04,09.9858,7,Non-alloy & other alloy quarto plates,North Macedonia,7630
2026-08-04,09.9859,7,Non-alloy & other alloy quarto plates,United Kingdom,3728
2026-08-04,09.9509,7,Non-alloy & other alloy quarto plates,FTA Quota – CSQ,22682
2026-08-04,09.9609,7,Non-alloy & other alloy quarto plates,Other countries,9768
2026-08-04,09.9727,7,Non-alloy & other alloy quarto plates,FTA Quota – Other countries,7262
2026-08-04,09.9728,7,Non-alloy & other alloy quarto plates,Türkiye,6247
2026-08-04,09.9491,7,Non-alloy & other alloy quarto plates,United Kingdom (to Northern Ireland from other parts of the United Kingdom),4452
2026-08-04,09.9860,8,Stainless hot rolled sheets and strips,Taiwan,2085
2026-08-04,09.9861,8,Stainless hot rolled sheets and strips,Indonesia,8955
2026-08-04,09.9862,8,Stainless hot rolled sheets and strips,India,4161
2026-08-04,09.9863,8,Stainless hot rolled sheets and strips,China,2252
2026-08-04,09.9864,8,Stainless hot rolled sheets and strips,Korea,2082
2026-08-04,09.9865,8,Stainless hot rolled sheets and strips,Türkiye,3430
2026-08-04,09.9866,8,Stainless hot rolled sheets and strips,South Africa,2275
2026-08-04,09.9510,8,Stainless hot rolled sheets and strips,FTA Quota – CSQ,2806
2026-08-04,09.9610,8,Stainless hot rolled sheets and strips,Other countries,434
2026-08-04,09.9729,8,Stainless hot rolled sheets and strips,FTA Quota – Other countries,407
2026-08-04,09.9492,8,Stainless hot rolled sheets and strips,United Kingdom (to Northern Ireland from other parts of the United Kingdom),13
2026-08-04,09.9867,9,Stainless cold rolled sheets and strips,Taiwan,11736
2026-08-04,09.9868,9,Stainless cold rolled sheets and strips,China,9013
2026-08-04,09.9869,9,Stainless cold rolled sheets and strips,Korea,20380
2026-08-04,09.9870,9,Stainless cold rolled sheets and strips,Türkiye,10215
2026-08-04,09.9871,9,Stainless cold rolled sheets and strips,South Africa,8246
2026-08-04,09.9872,9,Stainless cold rolled sheets and strips,Viet Nam,8340
2026-08-04,09.9873,9,Stainless cold rolled sheets and strips,India,6589
2026-08-04,09.9511,9,Stainless cold rolled sheets and strips,FTA Quota – CSQ,9935
2026-08-04,09.9611,9,Stainless cold rolled sheets and strips,Other countries,3701
2026-08-04,09.9730,9,Stainless cold rolled sheets and strips,FTA Quota – Other countries,5085
2026-08-04,09.9731,9,Stainless cold rolled sheets and strips,Switzerland,187
2026-08-04,09.9493,9,Stainless cold rolled sheets and strips,United Kingdom (to Northern Ireland from other parts of the United Kingdom),31
2026-08-04,09.9874,10,Stainless hot rolled quarto plates,China,865
2026-08-04,09.9875,10,Stainless hot rolled quarto plates,India,679
2026-08-04,09.9876,10,Stainless hot rolled quarto plates,Korea,405
2026-08-04,09.9877,10,Stainless hot rolled quarto plates,South Africa,424
2026-08-04,09.9512,10,Stainless hot rolled quarto plates,FTA Quota – CSQ,279
2026-08-04,09.9612,10,Stainless hot rolled quarto plates,Other countries,162
2026-08-04,09.9732,10,Stainless hot rolled quarto plates,FTA Quota – Other countries,270
2026-08-04,09.9878,12,Non-alloy & other alloy merchant bars & light sections,China,18039
2026-08-04,09.9879,12,Non-alloy & other alloy merchant bars & light sections,Türkiye,39884
2026-08-04,09.9880,12,Non-alloy & other alloy merchant bars & light sections,United Kingdom,19456
2026-08-04,09.9881,12,Non-alloy & other alloy merchant bars & light sections,Switzerland,16383
2026-08-04,09.9882,12,Non-alloy & other alloy merchant bars & light sections,Korea,7863
2026-08-04,09.9883,12,Non-alloy & other alloy merchant bars & light sections,North Macedonia,7519
2026-08-04,09.9513,12,Non-alloy & other alloy merchant bars & light sections,FTA Quota – CSQ,14063
2026-08-04,09.9613,12,Non-alloy & other alloy merchant bars & light sections,Other countries,6290
2026-08-04,09.9733,12,Non-alloy & other alloy merchant bars & light sections,FTA Quota – Other countries,10563
2026-08-04,09.9734,12,Non-alloy & other alloy merchant bars & light sections,Brazil,2884
2026-08-04,09.9735,12,Non-alloy & other alloy merchant bars & light sections,Egypt,1418
2026-08-04,09.9884,13,Rebars,Türkiye,0
2026-08-04,09.9885,13,Rebars,Egypt,24779
2026-08-04,09.9886,13,Rebars,Algeria,8480
2026-08-04,09.9887,13,Rebars,Moldova,8667
2026-08-04,09.9888,13,Rebars,China,4892
2026-08-04,09.9889,13,Rebars,Ukraine,7824
2026-08-04,09.9514,13,Rebars,FTA Quota – CSQ,0
2026-08-04,09.9614,13,Rebars,Other countries,14136
2026-08-04,09.9736,13,Rebars,FTA Quota – Other countries,9575
2026-08-04,09.9494,13,Rebars,United Kingdom (to Northern Ireland from other parts of the United Kingdom),2154
2026-08-04,09.9890,14,Stainless bars and light sections,India,0
2026-08-04,09.9891,14,Stainless bars and light sections,Switzerland,992
2026-08-04,09.9892,14,Stainless bars and light sections,United Kingdom,1219
2026-08-04,09.9893,14,Stainless bars and light sections,China,452
2026-08-04,09.9515,14,Stainless bars and light sections,FTA Quota – CSQ,0
2026-08-04,09.9615,14,Stainless bars and light sections,Other countries,337
2026-08-04,09.9737,14,Stainless bars and light sections,FTA Quota – Other countries,527
2026-08-04,09.9894,15,Stainless wire rod,India,2415
2026-08-04,09.9895,15,Stainless wire rod,Taiwan,700
2026-08-04,09.9896,15,Stainless wire rod,Korea,676
2026-08-04,09.9897,15,Stainless wire rod,United Kingdom,670
2026-08-04,09.9898,15,Stainless wire rod,China,342
2026-08-04,09.9899,15,Stainless wire rod,Japan,30
2026-08-04,09.9516,15,Stainless wire rod,FTA Quota – CSQ,810
2026-08-04,09.9616,15,Stainless wire rod,Other countries,131
2026-08-04,09.9738,15,Stainless wire rod,FTA Quota – Other countries,91
2026-08-04,09.9900,16,Non-alloy & other alloy wire rod,Türkiye,0
2026-08-04,09.9901,16,Non-alloy & other alloy wire rod,Malaysia,21671
2026-08-04,09.9902,16,Non-alloy & other alloy wire rod,United Kingdom,38132
2026-08-04,09.9903,16,Non-alloy & other alloy wire rod,Ukraine,10734
2026-08-04,09.9904,16,Non-alloy & other alloy wire rod,Switzerland,12964
2026-08-04,09.9905,16,Non-alloy & other alloy wire rod,Viet Nam,15389
2026-08-04,09.9906,16,Non-alloy & other alloy wire rod,Moldova,20621
2026-08-04,09.9907,16,Non-alloy & other alloy wire rod,Egypt,2166
2026-08-04,09.9517,16,Non-alloy & other alloy wire rod,FTA Quota – CSQ,0
2026-08-04,09.9617,16,Non-alloy & other alloy wire rod,Other countries,37303
2026-08-04,09.9739,16,Non-alloy & other alloy wire rod,FTA Quota – Other countries,29419
2026-08-04,09.9740,16,Non-alloy & other alloy wire rod,Korea,2834
2026-08-04,09.9741,16,Non-alloy & other alloy wire rod,Japan,1007
2026-08-04,09.9908,17,"Angles, shapes and sections of iron/non-alloy steel",Türkiye,844
2026-08-04,09.9909,17,"Angles, shapes and sections of iron/non-alloy steel",United Kingdom,4646
2026-08-04,09.9910,17,"Angles, shapes and sections of iron/non-alloy steel",Switzerland,2590
2026-08-04,09.9911,17,"Angles, shapes and sections of iron/non-alloy steel",United Arab Emirates,1491
2026-08-04,09.9518,17,"Angles, shapes and sections of iron/non-alloy steel",FTA Quota – CSQ,3032
2026-08-04,09.9618,17,"Angles, shapes and sections of iron/non-alloy steel",Other countries,2215
2026-08-04,09.9742,17,"Angles, shapes and sections of iron/non-alloy steel",FTA Quota – Other countries,1046
2026-08-04,09.9743,17,"Angles, shapes and sections of iron/non-alloy steel",Korea,1250
2026-08-04,09.9495,17,"Angles, shapes and sections of iron/non-alloy steel",United Kingdom (to Northern Ireland from other parts of the United Kingdom),13727
2026-08-04,09.9912,18,Sheet piling,China,0
2026-08-04,09.9913,18,Sheet piling,United Arab Emirates,2
2026-08-04,09.9914,18,Sheet piling,United Kingdom,1635
2026-08-04,09.9519,18,Sheet piling,FTA Quota – CSQ,1234
2026-08-04,09.9619,18,Sheet piling,Other countries,0
2026-08-04,09.9744,18,Sheet piling,FTA Quota – Other countries,1398
2026-08-04,09.9915,19,Railway material,United Kingdom,1417
2026-08-04,09.9916,19,Railway material,Türkiye,241
2026-08-04,09.9917,19,Railway material,China,0
2026-08-04,09.9520,19,Railway material,FTA Quota – CSQ,286
2026-08-04,09.9620,19,Railway material,Other countries,181
